type,availability,duration,feature_1,feature_2,feature_3,feature_4,feature_5,attributes,element_uid,is_movie,avail_p,avail_r,avail_s,f1,f2,f3,f4,f5,f5_0,f5_1,f5_2,f5_3,f5_4,f5_5,attr_cluster,attr_cluster_0,attr_cluster_1,attr_cluster_2,attr_cluster_3,attr_cluster_4,attr_cluster_5,attr_cluster_6,attr_cluster_7,attr_cluster_8,attr_cluster_9,rating,bookmarks_freq,watched_time,transactions_freq
movie,[],80,7.464220932295282,0.5752595062,0,1.1283323575,1.6547073468,"31115,6713,10906,31116,31117,270,24431,42,31118,31119",0,1,0,0,0,0.968553773683025,0.5513309398814301,0,0.966635926277335,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.762337603384989,2043.2,14.472306153483656
movie,"['purchase', 'rent']",120,6.820229784028603,0.7732243944,3,1.1120138405,1.6547073468,"2786,385,2799,3730,886,7,11700,42,20,388,1934",1,1,1,1,0,0.8543473776891095,0.9041372495916931,3,0.9265939529988949,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7.962117344646453,11.197388245923452,7395.666666666667,13.884519488581537
movie,[],100,7.221834033019861,0.7009967009999999,0,1.1300763881,1.6547073468,"10511,2752,9076,1373,472,7,10512,42,43,10513,25",10,1,0,0,0,0.9255685024150995,0.7754155040385422,0,0.9709153854145831,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.762337603384989,0.0,16.081744065917757
movie,"['purchase', 'rent']",80,6.782812096853805,0.752750538,4,0.9537104605,1.0,"18441,16300,16580,18770,18771,18643,396,18772,3771,18773,910,18774,16364,3277",100,1,1,1,0,0.8477116666080435,0.8676494370927197,4,0.5381530357362045,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,10.0,11.970578134156934,2723.927272727273,12.074410880685285
movie,[],80,6.959757587808475,0.6898832954,0,1.1283323575,1.6804096966,"1256,441,19806,15224,16708,83,336,19807,85,54,19808,19809",1000,1,0,0,0,0.8790914563205237,0.7556095694927751,0,0.966635926277335,5,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.069190422825043,0.0,16.081744065917757
movie,[],70,7.4009721401826605,0.6025083757,1,1.1369237919,1.0,"20576,20577,20578,20579,20580,714,20400,1492,20581,20582,20583,25",10000,1,0,0,0,0.9573371341102717,0.5998929509505808,1,0.9877173754475184,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,7.9,12.376043242265098,3316.105633802817,11.125917008316495
movie,"['purchase', 'rent', 'subscription']",120,7.119214293579919,0.7098383884999999,23,1.1300763881,1.6547073468,"3778,8159,12371,29312,270,21991,1241,31,10,42,14,15,18,19,328,272,20,34,36,12372,7987,25",10001,1,1,1,1,0.9073697575553064,0.7911728596325045,23,0.9709153854145831,4,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,10.0,12.663725314716878,5452.25,14.695449704797864
movie,"['purchase', 'rent']",90,6.820229784028603,0.7471151581000001,4,1.1120138405,1.6547073468,"189,1231,5424,23872,19534,2526,7,1519,1520,32,11,43,20,388,23873,197",10002,1,1,1,0,0.8543473776891095,0.8576062541605738,4,0.9265939529988949,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7.1,9.811093884803562,7009.338235294118,11.86223636074165
movie,[],110,7.098404423846305,0.7466779508,0,1.0924188052,1.6547073468,"1268,15552,12809,113,15555,42,43,15556,11627",10003,1,0,0,0,0.9036793027567029,0.8568270781385332,0,0.8785121401801992,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.762337603384989,0.0,16.081744065917757
movie,"['purchase', 'rent', 'subscription']",10,7.556311709667481,0.7650093766,11,1.0372474119,1.4496666915,"5043,9735,9715,5044,396,17835,1492,14,15,3273,16,9732,9733,3277",10004,1,1,1,1,0.9848852959660015,0.8894967234833762,11,0.7431339402951895,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,8.375,10.717815165661566,997.08078994614,9.759178825990471
movie,"['purchase', 'rent']",80,6.994958456685034,0.777261912,7,1.1265750641,1.5927161087,"73,1231,2297,2308,2298,7,52,41,11,17,18,19,20,45,2307,1745,165",10005,1,1,1,0,0.8853340333824391,0.9113327765247679,7,0.9623239232095826,3,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,9.166666666666666,8.324258294461792,5343.05376344086,10.45053228409639
series,"['purchase', 'subscription']",0,7.58447222190319,0.6197891088,9,1.1230198714,1.4496666915,"35552,35553,1163,35554,1492,14,15,3273,25",10006,0,1,0,1,0.9898793251858737,0.6306900874000483,9,0.9536002793212859,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,7.962117344646453,12.663725314716878,1003.8333333333334,11.29425232313571
movie,"['purchase', 'rent']",100,7.154244876931594,0.7828386179000001,5,0.9882646973,1.6547073468,"19144,17535,19145,7,11476,85,42,17,19,20,151,19146,6928,489,25",10007,1,1,1,0,0.9135821359162937,0.9212713926440603,5,0.6229413670902426,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,9.25,10.584283773037043,4977.368421052632,13.137305086751315
movie,[],100,6.739656358454567,0.7666676112,0,1.1194091265,1.6547073468,"16956,16957,16958,16959,16960,247,3386,16961,85,42,43,16962,16963,16964,16965,16966,3418",10008,1,0,0,0,0.8400583605613707,0.8924519729479623,0,0.9447403228190456,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.762337603384989,0.0,16.081744065917757
movie,"['purchase', 'rent']",110,6.20446048467785,0.7658394591,6,1.1157410659,1.5927161087,"347,1626,4350,155,660,810,83,7,52,719,31,17035,17036,2327,17,19,20,151,7886,12033,7887,489",10009,1,1,1,0,0.7451458884577289,0.890976068362374,6,0.9357397264701928,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,8.6875,9.273701233652849,6810.208333333333,10.824248693889974
movie,"['purchase', 'rent']",90,7.253842389116618,0.5702689608,2,1.1335254517,1.6547073468,"1624,4227,4228,3910,4229,247,4230,54,19,20,4231,25",1001,1,1,1,0,0.9312449142747026,0.542436959125425,2,0.9793786123430372,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7.962117344646453,13.762337603384989,5315.5,14.695449704797864
movie,"['purchase', 'rent', 'subscription']",100,7.264224990594532,0.708379935,8,1.1265750641,1.6547073468,"29349,29975,29976,29977,29978,51,10097,42,43,14,15,19,20,55,28417",10010,1,1,1,1,0.9330861810359388,0.7885736532687013,8,0.9623239232095826,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,7.962117344646453,13.762337603384989,769.5454545454545,13.683848793119385
movie,"['purchase', 'rent']",80,7.239758104294103,0.6898832954,7,1.1335254517,1.6804096966,"6238,11303,11304,3259,1037,83,7,4694,308,54,170,33,20,721,171,25",10011,1,1,1,0,0.9287471852079903,0.7556095694927751,7,0.9793786123430372,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.530973451327434,8.72538500097136,4292.080432172869,8.663563243190968
movie,"['purchase', 'rent']",100,6.6265222649597515,0.7098383884999999,3,1.1265750641,1.6547073468,"803,1976,9902,9903,9904,9905,9906,7,2060,31,42,9907,9908,9909,19,20,9910",10012,1,1,1,0,0.8199949837325777,0.7911728596325045,3,0.9623239232095826,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,8.125,11.054287402282778,4132.855633802817,10.43276982775655
movie,[],80,7.1381892405493454,0.7674938418,1,1.1157410659,1.0,"29167,29168,29169,29170,577,83,29171,1492,29172",10013,1,0,0,0,0.9107348042851979,0.8939244531014185,1,0.9357397264701928,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,10.0,11.277430953596989,0.0,16.081744065917757
movie,"['purchase', 'rent', 'subscription']",100,7.609545381260638,0.6719953728,12,1.1386044027,1.6547073468,"11330,11345,11346,11347,335,11348,123,43,14,15,17,18,19,20,55,44,25",10014,1,1,1,1,0.9943258384246076,0.7237303205094252,12,0.9918412166485946,4,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,9.0,11.459752510390942,2012.3947368421052,12.44415790619137
movie,[],110,7.264224990594532,0.7582981253,0,1.1230198714,1.6547073468,"15221,15222,15223,625,15224,336,1284,42,15225",10015,1,0,0,0,0.9330861810359388,0.8775361590306581,0,0.9536002793212859,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,10.0,13.069190422825043,0.0,16.081744065917757
movie,"['purchase', 'rent', 'subscription']",100,7.459309256887731,0.7342129951999999,9,1.1369237919,1.6547073468,"21053,29751,29752,14284,29753,7,29754,42,43,14,15,17,20,388,151,21,29755,25",10016,1,1,1,1,0.9676827294953865,0.8346124570209976,9,0.9877173754475184,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,8.3,10.766605329830996,3458.3347107438017,10.592806339761069
movie,"['purchase', 'rent', 'subscription']",90,7.393964791330816,0.7108073829000001,8,1.1352308688,0.0,"6962,9032,10408,10409,10410,7,10411,42,14,15,17,19,20,151,21,7637,10412,1031,25",10017,1,1,1,1,0.9560944399210811,0.7928997685884431,8,0.9835633226293208,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,10.0,12.152899690950887,2978.9583333333335,12.90369023556981
series,['subscription'],50,7.552108480530581,0.7620887548999999,27,1.140272879,0.0,"2620,312,6245,2474,7,14536,42,175,15,202,25",10018,0,0,0,1,0.9841398887464241,0.884291690543415,27,0.9959352825137904,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,9.242647058823529,7.448789557107893,11867.771330570244,7.228507301171859
movie,"['purchase', 'rent']",120,7.562105840678998,0.6681983275,6,1.1386044027,0.0,"2860,996,3862,17589,7,25281,123,42,43,33,17,20,164,25",10019,1,1,1,0,0.9859128362086322,0.7169633551537187,6,0.9918412166485946,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,11.054287402282778,5283.0,13.884519488581537
movie,"['purchase', 'rent']",100,6.803359668184792,0.6741470726000001,4,1.1212215513,1.6547073468,"716,25504,25505,25506,24550,192,7,51,4710,25507,31,54,1383,20,388,25508,25509,2204",1002,1,1,1,0,0.8513556049982778,0.727565006917428,4,0.9491876059521136,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,12.663725314716878,5038.75,14.002302524237919
movie,[],90,7.161427853796005,0.7093529006999999,0,1.0964729963,1.6804096966,"12240,12241,7,12242,32,308,42,12243",10020,1,0,0,0,0.914855976251522,0.7903076397408118,0,0.8884602139967042,5,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.762337603384989,0.0,16.081744065917757
movie,[],110,6.956411386742868,0.7378191548999999,0,1.1138849678,1.6547073468,"1,72,73,74,75,7,76,42,43,77,78",10021,1,0,0,0,0.8784980357975822,0.8410392325343274,0,0.9311852788741053,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,4.0,10.395041773398514,0.0,16.081744065917757
movie,"['purchase', 'rent']",90,7.54732555691645,0.6773504396,4,1.1248043047,1.6547073468,"14130,14688,4708,14689,14690,192,7,14691,308,54,17,18,19,20,3569,14684,14692,165,25",10022,1,1,1,0,0.9832916776029101,0.7332739389416554,4,0.9579788776041913,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,7.962117344646453,12.663725314716878,3929.0,14.2899845966897
movie,['purchase'],80,7.4864150545208785,0.5938791221,4,1.1369237919,0.0,"15439,24811,24812,24813,24814,7,24815,42,54,388,151,24816,25",10023,1,1,0,0,0.9724897139804283,0.5845141878484379,4,0.9877173754475184,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,8.25,11.197388245923452,3314.25,14.002302524237919
movie,"['purchase', 'rent']",110,6.879433480079095,0.7009967009999999,8,1.1248043047,1.6547073468,"3138,3139,3471,2187,804,714,7,51,3472,31,32,9,10,17,18,19,20,3473,3474,3238,171,25",10024,1,1,1,0,0.8648466536087311,0.7754155040385422,8,0.9579788776041913,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,7.4,10.328350398899842,6557.808510638298,11.538449283647752
movie,"['purchase', 'subscription']",110,7.5524993742751505,0.7449237343,35,1.1386044027,1.6547073468,"189,2760,626,1806,7,23878,123,32,10,42,14,15,33,388,21,35,56,188,25",10025,1,1,0,1,0.9842092104535687,0.8537007729870227,35,0.9918412166485946,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,8.91703056768559,7.65087026388231,7428.278514588859,9.050886589801635
multipart_movie,[],60,7.010061885148213,0.7510260541,0,1.1300763881,1.6547073468,"33227,33228,33229,33230,33231,33232,33233,9666,33234,33235,601,82,52,33236,1134",10026,1,0,0,0,0.8880124989740459,0.8645761203725388,0,0.9709153854145831,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,13.069190422825043,0.0,16.081744065917757
movie,"['purchase', 'rent', 'subscription']",110,6.663659384800482,0.7510260541,11,1.1194091265,1.6547073468,"629,2515,2516,2517,2518,1730,7,2519,31,32,10,54,2520,2304,2521,2522,14,15,17,18,19,20,21,2523,284",10027,1,1,1,1,0.8265809385644407,0.8645761203725388,11,0.9447403228190456,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,8.526315789473685,9.331520804541675,4601.812154696133,9.091487565423876
movie,"['purchase', 'rent', 'subscription']",90,7.419347541917276,0.6593642563000001,11,1.1352308688,1.5927161087,"13338,13339,13340,13341,13342,335,1090,13343,42,43,14,15,17,18,19,20,55,13344,13345,25",10028,1,1,1,1,0.9605958565518753,0.7012195730713076,11,0.9835633226293208,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,7.962117344646453,12.376043242265098,993.2857142857143,14.135833916862442
movie,"['purchase', 'rent', 'subscription']",80,7.198314319535987,0.7910432703,19,1.0882922139,1.0,"25420,25417,25421,3025,24824,7,2050,2051,11,1492,14,15,33,20,388,34,35,36,22,12408,25422,3053,24,25",10029,1,1,1,1,0.9213974796936963,0.9358934458880428,19,0.8683864125441865,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,8.860240963855421,8.626539166334727,4254.462498986459,6.6617101903517675
movie,"['purchase', 'rent', 'subscription']",110,7.04154877995064,0.6847147687999999,24,1.1300763881,1.6547073468,"2400,2041,22658,630,128,7,3156,31,32,14,15,17,18,19,20,21,22659,188",1003,1,1,1,1,0.8935964340733147,0.7463983966784165,24,0.9709153854145831,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,7.21875,8.718912486465742,4112.6311394891945,7.364389399579233
movie,"['purchase', 'rent']",80,6.9643993734692575,0.7328512145,6,1.1082255103,1.6547073468,"4368,13176,13177,4467,1894,7,13178,43,17,18,19,20,13179,165",10030,1,1,1,0,0.8799146378389668,0.832185537642667,6,0.91729824208115,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,8.0,10.328350398899842,5127.857142857143,13.442686736302496
movie,"['purchase', 'rent', 'subscription']",90,7.253842389116618,0.6934571412999999,9,1.1335254517,1.6804096966,"4431,4263,12677,4605,2614,7,52,7046,42,43,124,14,15,17,18,19,20,55,8400,25",10031,1,1,1,1,0.9312449142747026,0.7619787564476772,9,0.9793786123430372,5,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,8.0,11.565113026048769,2189.7571428571428,11.833248823868397
series,"['purchase', 'subscription']",10,7.471241521281632,0.7505936251,16,1.1248043047,1.0,"636,19776,16908,16909,33761,270,33762,29502,16910,1492,14,15,3273,328,33763,24921,24920",10032,0,1,0,1,0.9697988158983468,0.8638054600747009,16,0.9579788776041913,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,9.347826086956522,9.933696206895894,10875.299299299299,7.565551374835102
movie,"['purchase', 'rent']",90,6.223032457201051,0.6980000053000001,7,1.1265750641,1.0,"11085,11798,4001,11799,11800,1911,7,2163,42,11,43,11801,11802,17,18,19,20,11803,11804,11805,24,25",10033,1,1,1,0,0.7484394710699771,0.7700748945958544,7,0.9623239232095826,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,2.0,11.197388245923452,5798.3,13.086011792363765
series,"['purchase', 'subscription']",40,7.629678373771228,0.7078924534000001,10,1.1335254517,1.5927161087,"17748,8159,28128,33437,270,35399,130,123,31,14,15,32811,25",10034,0,1,0,1,0.9978962547593597,0.7877048800942692,10,0.9793786123430372,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,8.2,10.584283773037043,8694.052953156823,9.885299938123236
movie,[],90,6.945526922621722,0.7553217061,0,1.1265750641,1.6804096966,"3704,6657,6658,6659,6660,83,6661,42,6662,6663,6664",10035,1,0,0,0,0.8765677679314059,0.8722316856785866,0,0.9623239232095826,5,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,7.962117344646453,11.970578134156934,0.0,16.081744065917757
movie,"['purchase', 'rent', 'subscription']",80,7.369234129769034,0.6520216203,13,1.1352308688,1.0,"22538,22539,22540,22541,1529,7,52,14162,1492,14,15,16,19,20,151,34,36,3499,22542,22543,22544,25",10036,1,1,1,1,0.9517086657763303,0.6881337762198547,13,0.9835633226293208,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,7.4,12.663725314716878,3034.587155963303,11.390396183688612
movie,"['purchase', 'rent']",100,6.800483153201388,0.7620887548999999,6,1.1283323575,1.5927161087,"22911,22912,1554,3496,2604,7,12221,123,43,17,18,20,388,22913,22914",10037,1,1,1,0,0.8508454793386919,0.884291690543415,6,0.966635926277335,3,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,8.692307692307692,9.444849489848679,6920.594339622641,11.41830497180569
movie,"['purchase', 'rent', 'subscription']",100,7.366015031705375,0.7645936086,12,1.1335254517,1.5927161087,"6872,16381,16382,16383,16384,1319,16385,42,43,14,15,17,18,19,20,21,44,16386,16387,16388,25",10038,1,1,1,1,0.9511377858982588,0.8887557558546753,12,0.9793786123430372,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,8.833333333333334,10.001137487691425,3793.060975609756,10.065586906219401
